repository,size_kb,default_branch,url,disposition,rationale
Skycoin-Stable-Release,3375,main,https://github.com/skylerblue333/Skycoin-Stable-Release,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
ShadowChat-Integration-Hub,3364,main,https://github.com/skylerblue333/ShadowChat-Integration-Hub,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
contribution-history-vault,2298,master,https://github.com/skylerblue333/contribution-history-vault,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
skycoin4444-platform,1986,main,https://github.com/skylerblue333/skycoin4444-platform,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
Skycoin-Reference-Implementation,878,main,https://github.com/skylerblue333/Skycoin-Reference-Implementation,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
Skycoin-Next-Gen,845,main,https://github.com/skylerblue333/Skycoin-Next-Gen,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
Skycoin-Legacy-Core,751,main,https://github.com/skylerblue333/Skycoin-Legacy-Core,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
my-skills,673,main,https://github.com/skylerblue333/my-skills,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
Skycoin-Protocol-Upgrade,597,main,https://github.com/skylerblue333/Skycoin-Protocol-Upgrade,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
ShadowChat-Final-Build,588,main,https://github.com/skylerblue333/ShadowChat-Final-Build,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
ShadowChat-Legacy,523,main,https://github.com/skylerblue333/ShadowChat-Legacy,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
contribution-booster,210,master,https://github.com/skylerblue333/contribution-booster,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
skycoin4444-production-optimized,144,master,https://github.com/skylerblue333/skycoin4444-production-optimized,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
skylerblue333,113,main,https://github.com/skylerblue333/skylerblue333,ARCHIVE-CANDIDATE,Potential reference or component; preserve history until reviewed.
frontendpages,1076632,master,https://github.com/skylerblue333/frontendpages,CANONICAL-FRONTEND,Named consolidation target; requires source-level validation before migration.
skycoin4444,22063,main,https://github.com/skylerblue333/skycoin4444,CANONICAL-PLATFORM,Named consolidation target; requires source-level validation before migration.
ShadowChat-Pro-Edition,118422,main,https://github.com/skylerblue333/ShadowChat-Pro-Edition,PRODUCT-CANDIDATE,Named consolidation target; requires source-level validation before migration.
ShadowChat-Core,3682,main,https://github.com/skylerblue333/ShadowChat-Core,PRODUCT-CANDIDATE,Named consolidation target; requires source-level validation before migration.
Skycoin-Protocol-v44,814,main,https://github.com/skylerblue333/Skycoin-Protocol-v44,PRODUCT-CANDIDATE,Named consolidation target; requires source-level validation before migration.
frontenedpages,363162,main,https://github.com/skylerblue333/frontenedpages,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
the-digital-ghost,48857,main,https://github.com/skylerblue333/the-digital-ghost,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
Loathing-in-the-woes-of-ruthless-the-chosen-one-,48566,main,https://github.com/skylerblue333/Loathing-in-the-woes-of-ruthless-the-chosen-one-,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
skycoin-production,39287,main,https://github.com/skylerblue333/skycoin-production,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
SKYCOIN4444-Ecosystem,15420,main,https://github.com/skylerblue333/SKYCOIN4444-Ecosystem,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
TS-Express-API,12222,main,https://github.com/skylerblue333/TS-Express-API,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
skycoin4444-personal-backup,10824,main,https://github.com/skylerblue333/skycoin4444-personal-backup,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
skycoin4444hopeAIShadowchat,10510,main,https://github.com/skylerblue333/skycoin4444hopeAIShadowchat,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
ShadowChat,10202,master,https://github.com/skylerblue333/ShadowChat,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
skycoin444-shadow-chat-hope-Ai-production-,9108,main,https://github.com/skylerblue333/skycoin444-shadow-chat-hope-Ai-production-,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
finishedforgoogle,6877,main,https://github.com/skylerblue333/finishedforgoogle,REQUIRES-REVIEW,"Large repository; inspect dependencies, tests, history, and runtime claims."
main-about-me-and-IITR,44,main,https://github.com/skylerblue333/main-about-me-and-IITR,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin4444-legal-compliance-demo,38,master,https://github.com/skylerblue333/skycoin4444-legal-compliance-demo,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
CPP-HTTP-Client,28,main,https://github.com/skylerblue333/CPP-HTTP-Client,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
skycoin-admin,25,main,https://github.com/skylerblue333/skycoin-admin,REQUIRES-VALIDATION,Small repository; do not treat size as evidence of production readiness.
