route_or_file,line,hard_coded_value,source_text,purpose,classification,remediation,validation_result
client/src/pages/AICopyStudio.tsx,414,20%,"placeholder=""e.g. SKYCOIN4444 token launch, 8-20% APY staking...""",possible educational/example text,EDUCATIONAL-OR-DOCUMENTATION-REVIEW,Confirm context is clearly labeled educational/example content and not production telemetry.,inventory-generated; manual review required
client/src/pages/AgentDebate.tsx,46,$2.5,"perspective: 'Q2 launch maximizes revenue potential. Estimated $2.5M additional revenue in 2026. ROI is 450%.',",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/AgentDebate.tsx,50,$2.5,"'Revenue potential: $2.5M',",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/AmbientFeed.tsx,98,$2.1; 34.7%,"content: ""SKY444 staking APY just hit 34.7%. Treasury at $2.1M. Governance vote passes tomorrow."",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/AutomationWorkflows.tsx,34,$5,"{ id: ""wf-10"", name: ""Low Balance → Top-up Prompt"", trigger: ""Wallet balance < $5"", action: ""Send low balance notification + deposit CTA"", status: ""paused"", runs: 145, lastRun: ""3h ago"", category: ""crypto"" },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/ContentScheduler.tsx,39,24%,"content: ""New tutorial: How to stake SKY444 tokens and earn 24% APY. Full guide dropping at 3PM EST 🔥"",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/CreatorAnalytics.tsx,417,$100,"{ title: ""First $100 Earned"", icon: ""💰"", progress: 23, reward: ""Creator Badge"" },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/DigitalNationMode.tsx,418,23%; 8%; 12%,"rationale: ""Token velocity analysis shows 23% decline in staking participation. Propose increasing base APY from 8% to 12% for 90-day locks to incentivize long-term holding."",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/Ecosystem.tsx,103,20%,"""SKY444 token staking (8-20% APY)"",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/Ecosystem.tsx,110,20%,"badge: ""8-20% APY"",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/EmbedSDK.tsx,205,$0,"{ name: ""Free"", price: ""$0"", limit: ""10K API calls/mo"", features: [""Wallet widget"", ""Price chart"", ""Basic AI"", ""Community support""] },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/GTMStrategy.tsx,14,$80,"{ name: ""Token/Staking Revenue"", desc: ""Protocol fees from SKY444 staking and swaps"", model: ""Protocol"", arr: ""$80K"", pct: 7 },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/IITR.tsx,57,$500,"impact: ""Enabled $500M+ in transaction volume"",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/NarrativeEngine.tsx,19,$14.2; $100; $100,"variant: `SKYCOIN4444 is a fully integrated AI-powered digital ecosystem combining social, gaming, finance, and enterprise tools into one addictive platform. With a $14.2T TAM and 0.65 viral coefficient, we project $100M Year 1 revenue and ",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/PresentationWithChat.tsx,114,$20; $200; $200; $5; $50; $5,"script: 'The opportunity is massive: Crypto Mining ($20B), Social Media ($200B), Gaming ($200B), E-commerce ($5T), Governance/DAO ($50B+). Skycoin4444 Total Addressable Market: $5+ trillion. Early adopters will capture enormous value.',",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/PresentationWithChat.tsx,128,$1,"script: 'Q3 2026: Complete ecosystem launch. Q4 2026: Mobile apps, 1M users. Q1 2027: NFT integration, 5M users. Q2 2027: IPO preparation, 10M users. 2027+: Become the largest Web3 platform, 100M users, $1B revenue.',",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/PresentationWithChat.tsx,142,$50; $100; $500; $1,"script: 'We\'re raising $50M for Series A. Year 1: 10M users, $100M revenue. Year 2: 50M users, $500M revenue. Year 3: 100M users, $1B revenue. Conservative ROI: 10x by Year 3. This is the opportunity of a generation.',",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/RetentionEngine.tsx,14,$3.40; $5.00; $0.60,"{ label: ""Revenue/Active User"", value: ""$3.40"", target: ""$5.00"", trend: ""+$0.60"", color: ""text-pink-400"" },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/RetentionEngine.tsx,167,15%,"{ trigger: ""Staking reward"", shareText: '""Earning 15% APY on my SKY tokens""', channel: ""Telegram"" },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/Security.tsx,45,"$10,000","<p className=""text-sm text-muted-foreground mb-4"">Found a vulnerability? Report it responsibly and earn rewards up to $10,000 in SKY444.</p>",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/Security.tsx,47,"$5,000; $10,000; $1,000; $5,000; $100; $1,000","{[{level:""Critical"",reward:""$5,000–$10,000""},{level:""High"",reward:""$1,000–$5,000""},{level:""Medium"",reward:""$100–$1,000""}].map(b => (",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/StreamClip.tsx,14,$1.00,"{ id: ""c2"", title: ""SKY444 Token hits $1.00!"", creator: ""CryptoKing"", views: 8234, likes: 634, duration: ""0:45"", thumbnail: ""💰"", game: ""Crypto Stream"", created: ""5h ago"" },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/UnifiedFeed.tsx,34,340%,"{ id: ""4"", type: ""social"", author: ""nova.ai"", avatar: ""N"", content: ""Trend alert 🚨 #SKYCOIN4444 is up 340% in search volume this week. ICO opens April 24, 2027. Early adopters get 3x allocation bonus."", timestamp: ""5m ago"", likes: 2100, com",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/UnifiedFeed.tsx,38,$10,"{ id: ""8"", type: ""social"", author: ""blaze.creator"", avatar: ""B"", content: ""Just crossed $10K in monthly creator revenue on SKYCOIN4444. The subscription + tips + PPV combo is insane. Here's my breakdown 🧵"", timestamp: ""35m ago"", likes: 1820",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/VideoArea.tsx,27,$1000,"{ id: 3, user: ""DeFiMaster"", avatar: ""🏦"", title: ""How to Earn $1000/day with Yield Farming"", views: ""342K"", likes: 28400, duration: ""32:11"", thumb: ""https://picsum.photos/seed/vid3/640/360"", category: ""Strategy"" },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/WorldBrain.tsx,118,12.4%,"impact: ""+12.4% APY"",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/WorldBrain.tsx,119,$12.40,"result: ""~$12.40 weekly yield"",",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
client/src/pages/WorldSimulationControl.tsx,292,"$124,400; 18%","{ label: ""Daily Transaction Volume"", value: ""$124,400"", change: ""+18%"" },",static UI or data claim,REVIEW-REQUIRED,Verify authoritative source; otherwise remove or replace with truthful unavailable/empty state.,inventory-generated; manual review required
