page,path,readiness,route_registered,uses_trpc,uses_fetch,has_mutation,has_query,has_interaction,has_placeholder,has_no_check,has_hardcoded_money
ABTesting,client/src/pages/ABTesting.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ABTestingAdvanced,client/src/pages/ABTestingAdvanced.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AIAgentEconomy,client/src/pages/AIAgentEconomy.tsx,integration-backed-review,True,True,False,False,True,True,False,False,False
AIAgentMarket,client/src/pages/AIAgentMarket.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AIAssistant,client/src/pages/AIAssistant.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AIBrain,client/src/pages/AIBrain.tsx,integration-backed-review,True,True,False,True,True,True,True,False,False
AICodeStudio,client/src/pages/AICodeStudio.tsx,integration-backed-review,True,True,False,True,True,True,True,False,False
AICopyStudio,client/src/pages/AICopyStudio.tsx,integration-backed-review,True,True,False,True,True,True,True,False,True
AICore,client/src/pages/AICore.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AIEngineer,client/src/pages/AIEngineer.tsx,integration-backed-review,True,True,False,True,False,True,True,False,True
AIGovernance,client/src/pages/AIGovernance.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AIMarketAgents,client/src/pages/AIMarketAgents.tsx,integration-backed-review,True,True,False,True,True,True,False,False,True
AIMatchmaker,client/src/pages/AIMatchmaker.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AIModerationQueue,client/src/pages/AIModerationQueue.tsx,integration-backed-review,True,True,False,True,True,True,False,False,False
AIPersonaFeed,client/src/pages/AIPersonaFeed.tsx,integration-backed-review,True,True,False,True,True,True,False,False,False
AIPersonaSystem,client/src/pages/AIPersonaSystem.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AIToolsHub,client/src/pages/AIToolsHub.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AITrading,client/src/pages/AITrading.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AITrainingLoops,client/src/pages/AITrainingLoops.tsx,interactive-review,True,False,False,False,False,True,False,False,False
APIDocs,client/src/pages/APIDocs.tsx,integration-backed-review,True,False,True,False,False,True,False,False,False
APIDocumentation,client/src/pages/APIDocumentation.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APIIntegration,client/src/pages/APIIntegration.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APIKeys,client/src/pages/APIKeys.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APILogs,client/src/pages/APILogs.tsx,interactive-review,True,False,False,False,False,True,False,False,False
APIManagement,client/src/pages/APIManagement.tsx,static-review,True,False,False,False,False,False,False,False,False
APIMonitoring,client/src/pages/APIMonitoring.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APIStatus,client/src/pages/APIStatus.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APITesting,client/src/pages/APITesting.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APIUsage,client/src/pages/APIUsage.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APIVersioning,client/src/pages/APIVersioning.tsx,interactive-review,True,False,False,False,False,True,True,False,False
APYTracking,client/src/pages/APYTracking.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
About,client/src/pages/About.tsx,static-review,True,False,False,False,False,False,False,False,True
AccessControl,client/src/pages/AccessControl.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AccessibilitySettings,client/src/pages/AccessibilitySettings.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AccordionNavigation,client/src/pages/AccordionNavigation.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AccountSettings,client/src/pages/AccountSettings.tsx,interactive-review,True,False,False,False,False,True,False,False,True
AchievementBadges,client/src/pages/AchievementBadges.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
Achievements,client/src/pages/Achievements.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ActionObjects,client/src/pages/ActionObjects.tsx,integration-backed-review,True,True,False,False,True,True,True,False,False
ActionPanel,client/src/pages/ActionPanel.tsx,integration-backed-review,True,True,False,True,False,True,True,False,True
ActivityFeed,client/src/pages/ActivityFeed.tsx,interactive-review,True,False,False,False,False,True,True,False,False
ActivityTracking,client/src/pages/ActivityTracking.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AdaptivePersonalization,client/src/pages/AdaptivePersonalization.tsx,interactive-review,True,False,False,False,False,True,False,False,True
AdaptiveRoadmap,client/src/pages/AdaptiveRoadmap.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AddBankAccount,client/src/pages/AddBankAccount.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AddCreditCard,client/src/pages/AddCreditCard.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AddressBook,client/src/pages/AddressBook.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AddressLookup,client/src/pages/AddressLookup.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
Admin,client/src/pages/Admin.tsx,integration-backed-review,True,True,False,False,True,False,False,False,False
AdminDashboard,client/src/pages/AdminDashboard.tsx,static-review,True,False,False,False,False,False,False,False,False
AdminOrders,client/src/pages/AdminOrders.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AdminPanel,client/src/pages/AdminPanel.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AdminWalletManager,client/src/pages/AdminWalletManager.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AdvancedAdminPanel,client/src/pages/AdvancedAdminPanel.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AdvancedAnalytics,client/src/pages/AdvancedAnalytics.tsx,truthfully-gated,True,False,False,False,False,False,True,False,True
AdvancedOrders,client/src/pages/AdvancedOrders.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AdvancedSearch,client/src/pages/AdvancedSearch.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AffiliateDashboard,client/src/pages/AffiliateDashboard.tsx,integration-backed-review,True,True,False,False,True,True,True,False,False
AffiliateProgram,client/src/pages/AffiliateProgram.tsx,static-review,True,False,False,False,False,False,False,False,False
AgeGate,client/src/pages/AgeGate.tsx,interactive-review,True,False,False,False,False,True,False,False,False
AgeVerification,client/src/pages/AgeVerification.tsx,truthfully-gated,True,False,False,False,False,False,True,False,False
AgentBuilder,client/src/pages/AgentBuilder.tsx,interactive-review,True,False,False,False,False,True,True,False,False
AgentCity,client/src/pages/AgentCity.tsx,integration-backed-review,True,True,False,False,True,True,False,False,False
AgentCoordination,client/src/pages/AgentCoordination.tsx,static-review,True,False,False,False,False,False,False,False,True
